Modelo;Accuracy;Precision_clase_1;Recall_clase_1;F1_clase_1;ROC_AUC
Regresión Logística balanceada;0.7135483870967742;0.32558139534883723;0.47619047619047616;0.3867403314917127;0.6576595606395425
Random Forest balanceado;0.7070967741935484;0.29591836734693877;0.3945578231292517;0.33819241982507287;0.6578762078079639
